time	open	high	low	close	tick_volume	spread	real_volume	short_ma	long_ma	signal
2022-01-14 08:00:00	1827.72	1829.18	1821.68	1823.65	16314	5	0	1823.934	1809.4738	1
2022-01-14 12:00:00	1823.65	1827.75	1819.54	1825.52	22626	5	0	1823.8719999999998	1809.8758000000003	1
2022-01-14 16:00:00	1825.5	1826.79	1815.24	1815.94	32500	5	0	1822.9230000000002	1810.0806	1
2022-01-14 20:00:00	1815.96	1819.0	1814.7	1817.54	10809	5	0	1822.0879999999997	1810.2885999999999	1
2022-01-17 00:00:00	1817.35	1818.11	1813.2	1816.16	7671	5	0	1821.4219999999998	1810.3404	1
2022-01-17 04:00:00	1816.19	1820.58	1816.0	1819.55	7802	5	0	1821.1780000000003	1810.4442000000001	1
2022-01-17 08:00:00	1819.56	1823.17	1818.73	1821.51	10555	5	0	1821.266	1810.5694	1
2022-01-17 12:00:00	1821.51	1821.95	1819.23	1821.02	12365	5	0	1821.0970000000002	1810.6736	1
2022-01-17 16:00:00	1821.02	1821.5	1817.7	1819.27	11216	5	0	1820.7900000000002	1810.7031999999997	1
2022-01-17 20:00:00	1819.27	1819.62	1818.13	1819.11	809	5	0	1819.9270000000001	1810.5746	1
2022-01-18 00:00:00	1818.27	1822.41	1818.27	1822.12	6770	5	0	1819.774	1810.5602000000001	1
2022-01-18 04:00:00	1822.15	1822.78	1815.31	1816.2	14502	5	0	1818.8419999999999	1810.6736	1
2022-01-18 08:00:00	1816.15	1818.02	1809.2	1810.45	21467	5	0	1818.2930000000001	1810.6773999999998	1
2022-01-18 12:00:00	1810.44	1819.86	1805.79	1819.64	25283	5	0	1818.503	1811.0098	1
2022-01-18 16:00:00	1819.77	1820.07	1810.72	1812.16	35485	5	0	1818.1029999999998	1811.3554000000001	1
2022-01-18 20:00:00	1812.18	1815.86	1810.61	1813.7	13152	5	0	1817.518	1811.8606	1
2022-01-19 00:00:00	1814.08	1815.14	1812.24	1812.3	8695	5	0	1816.5970000000002	1812.2848000000001	1
2022-01-19 04:00:00	1812.24	1814.24	1810.25	1813.4	12506	5	0	1815.8349999999998	1812.7584	1
2022-01-19 08:00:00	1813.4	1817.28	1811.32	1816.91	20664	5	0	1815.5989999999997	1813.2818	1
2022-01-19 12:00:00	1816.86	1825.57	1816.19	1824.0	23598	5	0	1816.0880000000002	1813.9474	1
2022-01-19 16:00:00	1823.99	1842.66	1822.47	1840.31	36408	5	0	1817.907	1814.8913999999997	1
2022-01-19 20:00:00	1840.29	1843.32	1839.63	1840.63	16399	5	0	1820.35	1815.9201999999998	1
2022-01-20 00:00:00	1840.2	1844.1	1837.96	1841.35	11245	5	0	1823.44	1816.8286	1
2022-01-20 04:00:00	1841.35	1842.76	1838.42	1839.29	13582	5	0	1825.405	1817.6884	1
2022-01-20 08:00:00	1839.29	1842.13	1837.04	1838.55	19215	5	0	1828.0440000000003	1818.5606	1
2022-01-20 12:00:00	1838.55	1846.92	1835.95	1846.45	21888	5	0	1831.319	1819.6270000000002	1
2022-01-20 16:00:00	1846.44	1847.92	1838.69	1842.37	33603	5	0	1834.3260000000002	1820.5388	1
2022-01-20 20:00:00	1842.38	1842.56	1837.32	1839.53	15485	5	0	1836.9389999999999	1821.4694	1
2022-01-21 00:00:00	1839.26	1839.78	1836.29	1838.39	11920	5	0	1839.087	1822.2495999999999	1
2022-01-21 04:00:00	1838.39	1842.12	1837.74	1841.37	13274	5	0	1840.8239999999998	1823.0432	1
2022-01-21 08:00:00	1841.37	1842.76	1828.39	1834.14	21575	5	0	1840.2069999999999	1823.6280000000002	1
2022-01-21 12:00:00	1834.14	1842.0	1831.14	1841.37	22455	5	0	1840.2810000000002	1824.2864	1
2022-01-21 16:00:00	1841.37	1843.24	1831.2	1832.81	36613	5	0	1839.4269999999997	1824.8044	1
2022-01-21 20:00:00	1832.81	1834.63	1828.58	1834.63	12830	5	0	1838.961	1825.3862	1
2022-01-24 00:00:00	1832.9	1837.15	1832.57	1836.16	10045	5	0	1838.7219999999998	1825.7582	1
2022-01-24 04:00:00	1836.12	1839.65	1835.35	1838.84	10651	5	0	1837.961	1826.1064000000001	1
2022-01-24 08:00:00	1838.84	1844.38	1836.44	1841.2	20325	5	0	1837.8439999999998	1826.5494	1
2022-01-24 12:00:00	1841.22	1843.1	1834.66	1835.4	26252	5	0	1837.431	1826.8482000000001	1
2022-01-24 16:00:00	1835.4	1841.13	1829.72	1838.49	43690	5	0	1837.441	1827.2912	1
2022-01-24 20:00:00	1838.5	1844.03	1837.7	1843.16	26385	5	0	1837.6200000000001	1827.7288	1
2022-01-25 00:00:00	1842.85	1843.65	1840.06	1840.15	9552	5	0	1838.221	1828.0086	1
2022-01-25 04:00:00	1840.13	1843.11	1839.43	1841.72	11377	5	0	1838.256	1828.3201999999999	1
2022-01-25 08:00:00	1841.75	1843.38	1837.01	1838.14	18444	5	0	1838.789	1828.5744	1
